"dependiente","tipo_dependiente","explicativa","especificacion","modelo","nobs","r2","r2_ajustado"
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool",379,0.322177928318892,0.320379991789234
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe",379,0.143372196657574,-0.0829609018844046
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw",379,0.0708814802519493,-0.190531526999197
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re",379,0.213777140178904,0.21169166840219
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool",379,0.34578969197092,0.342309849906936
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe",379,0.664430541249171,0.574344780510694
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw",379,0.0817140644732887,-0.1806533456772
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re",379,0.599283689993521,0.597152220259444
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool",379,0.317907380023209,0.316098115779239
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe",379,0.190337830937301,-0.0235862873100336
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw",379,0.0789460660847903,-0.180197922101523
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re",379,0.243208612320163,0.241201208108811
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool",379,0.337426219146477,0.333901890524915
