"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool","(Intercept)",5.57429070071613,0.158174434903496,35.2414137222432,2.34516960918275e-121
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0318855252681993,0.00649781414525106,4.90711561694988,1.37791958945534e-06
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0387347019785328,0.0069500235891486,5.57331949765051,5.58251381822728e-08
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0172603913097649,0.00513292149888008,3.36268367118624,0.000873779464249645
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re","(Intercept)",5.49169775415078,0.14386681503856,38.1720951609227,1.40560717371606e-131
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0336950838350879,0.00595470601910184,5.65856378585255,3.02478868772549e-08
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","(Intercept)",4.10621945281845,0.598935880248475,6.85585817819921,2.91879023507179e-11
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0334135058384753,0.00685653189552673,4.87323713323271,1.62156129815089e-06
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",4.59787251275477e-05,1.74880129643958e-05,2.62915662409199,0.00891087114543842
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.00222338484018402,0.00517228824647567,0.429864836264492,0.667604633765801
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",0.00012228064135205,5.9817747116464e-06,20.4422010601589,1.1669170670202e-58
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0157985280489466,0.00540581323519376,2.92250719023969,0.00374177244201487
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",2.92253075963815e-05,1.80698019422397e-05,1.61735627705276,0.106873776838543
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","(Intercept)",2.50362285703683,0.221546094543296,11.3006860364562,1.08347035299447e-25
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0146205277547119,0.00453919214125156,3.22095370712389,0.00138893720585669
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",0.000111075007579721,6.17085984236597e-06,17.999923903171,1.08946785673409e-52
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","(Intercept)",5.58431811715953,0.156812194699459,35.6115041171526,1.13190725004592e-122
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0352330261787105,0.0071433548133363,4.93228001399736,1.22114534852662e-06
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0409418642074845,0.00652922618392782,6.27055382278929,1.25640039529202e-09
